gene_id	transcript_id	scaffold	start	end	strand	product	pfam_ids	merops_ids	busco_ids	matched_families	matched_keywords	matched_pfam	evidence_strength	default_confidence	contamination_flag	notes
FUS_000003	FUS_000003-T1	scaffold_1	10713	12537	-	hypothetical protein	PF00083|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000013	FUS_000013-T1	scaffold_1	41806	42780	+	hypothetical protein	PF00561|PF12697	MER0017177		epoxide_hydrolase		PF00561	pfam_only	Medium	no	epoxide_hydrolase: Downstream of CYP-mediated hydroxylation. ' eh ' keyword removed — too short, risk of false matches.
FUS_000016	FUS_000016-T1	scaffold_1	46438	47427	-	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_000018	FUS_000018-T1	scaffold_1	50507	52151	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000019	FUS_000019-T1	scaffold_1	53607	55328	-	Putative monocarboxylate transporter mch1	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000037	FUS_000037-T1	scaffold_1	89810	90952	+	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_000067	FUS_000067-T1	scaffold_1	165639	167325	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000074	FUS_000074-T1	scaffold_1	187192	188387	+	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_000104	FUS_000104-T1	scaffold_1	300497	302479	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000105	FUS_000105-T1	scaffold_1	302867	303852	+	hypothetical protein	PF12146|PF00561|PF12697	MER0033259		epoxide_hydrolase		PF00561	pfam_only	Medium	no	epoxide_hydrolase: Downstream of CYP-mediated hydroxylation. ' eh ' keyword removed — too short, risk of false matches.
FUS_000144	FUS_000144-T1	scaffold_1	410523	412064	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000158	FUS_000158-T1	scaffold_1	444961	446573	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000165	FUS_000165-T1	scaffold_1	467809	469250	+	hypothetical protein	PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_000168	FUS_000168-T1	scaffold_1	481900	483044	-	hypothetical protein	PF00106|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000173	FUS_000173-T1	scaffold_1	494695	496520	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000174	FUS_000174-T1	scaffold_1	496805	498418	-	hypothetical protein	PF03096|PF00561|PF12697	MER0031610		epoxide_hydrolase		PF00561	pfam_only	Medium	no	epoxide_hydrolase: Downstream of CYP-mediated hydroxylation. ' eh ' keyword removed — too short, risk of false matches.
FUS_000256	FUS_000256-T1	scaffold_1	749793	752376	-	hypothetical protein	PF00005|PF06472			ABC_transporter		PF00005	pfam_only	Low	no	ABC_transporter: Broad family — relevant for PAH efflux/tolerance. Report separately.
FUS_000270	FUS_000270-T1	scaffold_1	784089	785838	-	hypothetical protein	PF16347|PF00884|PF12411			aryl_sulfatase		PF00884	pfam_only	Medium	no	aryl_sulfatase: Han et al. 2026 — 6-hydroxybenzo[a]pyrene sulfate metabolite
FUS_000301	FUS_000301-T1	scaffold_1	894295	895314	+	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000315	FUS_000315-T1	scaffold_1	935007	936123	-	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000330	FUS_000330-T1	scaffold_1	990122	991098	-	hypothetical protein	PF01036			manganese_peroxidase|lignin_peroxidase		PF01036	pfam_only	Medium	no	manganese_peroxidase: Upgrade if secretion signal present
FUS_000379	FUS_000379-T1	scaffold_1	1165212	1167037	+	Kynurenine 3-monooxygenase	PF01494			CYP_general	monooxygenase		keyword_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_000386	FUS_000386-T1	scaffold_1	1183865	1187264	+	hypothetical protein	PF00005|PF01061			ABC_transporter		PF00005	pfam_only	Low	no	ABC_transporter: Broad family — relevant for PAH efflux/tolerance. Report separately.
FUS_000393	FUS_000393-T1	scaffold_1	1195931	1197213	+	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_000396	FUS_000396-T1	scaffold_1	1205873	1206928	-	hypothetical protein	PF00106|PF01370|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000401	FUS_000401-T1	scaffold_1	1222591	1223633	+	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000420	FUS_000420-T1	scaffold_1	1273238	1275988	+	hypothetical protein	PF00857|PF13532|PF24470|PF00043|PF14497			GST		PF00043	pfam_only	Medium	no	GST: Core conjugation/detoxification family
FUS_000432	FUS_000432-T1	scaffold_1	1316620	1317441	-	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
